Experiment,Location,Community,Kingdom,Common name,S,RYT,MRY,ECS, TO,CV_K,RSE,alpha_ij,a_ij,alpha_ji,a_ji,a_mean,sd_a
Mesocosms,,Aquaculture,Animalia,Shrimps,2,2.27,1.14,2.2,2.29,0.06,0.98,-0.4,-0.37,0.05,0.05,-0.16,0.3
Mesocosms,,Aquaculture,Animalia,Shrimps,2,1.64,0.82,1.26,1.73,0.52,0.98,0.18,0.08,0.15,0.32,0.2,0.17
Microcosm,,Bacteria,Bacteria,Bacteria,6,4.02,0.67,4.15,3.45,0.15,0.98,NA,NA,NA,NA,NA,NA
Microcosm,,Bacteria,Bacteria,Bacteria,72,2,0.03,2.24,2.24,NA,NA,NA,NA,NA,NA,NA,NA
Microcosm,,Crustaceans,Animalia,Zooplankton,2,0.92,0.46,0.17,0.28,1,0.07,6.28,1.09,2.05,11.85,6.47,7.61
Microcosm,,Crustaceans,Animalia,Zooplankton,2,1.28,0.64,0.76,1.3,1,1,3.2,0.56,0.1,0.57,0.56,0.01
Microcosm,,Crustaceans,Animalia,Zooplankton,2,1.01,0.5,0.81,0.97,0.27,0.97,0.66,0.98,1.45,0.99,0.98,0.01
Microcosm,,Crustaceans,Animalia,Zooplankton,2,1.04,0.52,0.81,0.97,0.27,0.92,0.61,0.89,1.4,0.95,0.92,0.04
Microcosm,,Crustaceans,Animalia,Zooplankton,2,1.12,0.56,0.95,1.13,0.27,1,0.55,0.81,1.14,0.78,0.79,0.02
Microcosm,,Crustaceans,Animalia,Zooplankton,2,2.3,1.15,0.73,1.35,1.21,0.82,3.07,0.24,-0.09,-1.19,-0.47,1.01
Microcosm,,Crustaceans,Animalia,Zooplankton,4,1.31,0.33,0.61,0.29,0.82,0.59,,,,,0.29,0.36
Experiment,,Insects,Animalia,Flies,2,0.6,0.3,0.42,0.55,0.43,0.95,1.48,2.79,3.86,2.05,2.42,0.53
Experiment,,Insects,Animalia,Flies,2,0.66,0.33,0.54,0.73,0.49,0.92,0.86,1.78,5.32,2.56,2.17,0.55
Experiment,,Insects,Animalia,Flies,2,0.62,0.31,0.45,0.58,0.4,0.95,1.47,2.64,3.51,1.96,2.3,0.48
Experiment,,Insects,Animalia,Flies,2,0.84,0.42,0.53,0.72,0.52,0.89,0.74,1.61,2.77,1.27,1.44,0.24
Experiment,,Insects,Animalia,Flies,2,0.46,0.23,0.39,0.43,0.12,0.42,12.37,14.7,2.7,2.27,8.49,8.79
Experiment,,Insects,Animalia,Flies,2,0.34,0.17,0.31,0.34,0.12,0.99,4.48,5.32,5.26,4.42,4.87,0.63
Experiment,,Insects,Animalia,Flies,2,0.98,0.49,0.74,0.96,0.42,1,0.57,1.05,1.91,1.04,1.04,0
Experiment,,Insects,Animalia,Flies,2,1.2,0.6,0.9,1.12,0.35,0.95,0.33,0.55,1.22,0.73,0.64,0.13
Experiment,,Insects,Animalia,Beetles,2,1.18,0.59,1.17,1.15,0.03,0.86,NA,NA,NA,NA,NA,NA
Experiment,,Insects,Animalia,Beetles,2,1.15,0.58,0.83,0.61,0.53,0.56,NA,NA,NA,NA,NA,NA
Experiment,,Insects,Animalia,Beetles,2,1.1,0.55,1.21,1.08,0.16,0.45,NA,NA,NA,NA,NA,NA
Experiment,,Insects,Animalia,Beetles,3,1.03,0.34,1.07,0.97,0.14,0.93,NA,NA,NA,NA,NA,NA
Field,Ireland,Mammals,Animalia,Mammals,2,1.01,0.51,1.01,1.01,0,0.9,0.96,0.96,0.98,0.98,0.97,0.01
Field,Ireland,Mammals,Animalia,Mammals,2,1.02,0.51,1.02,1.02,0,0.97,0.96,0.96,0.97,0.97,0.96,0.01
