Huisman 1999,,,,,,,
,1,1.1333,0.7293,1.1778,,,
,0,1,0,0,,,
,0.8648,1.0029,1,0.9111,,,
,1.0087,1.1547,1.0132,1,,,
Neill 1974,,,,,,,
,1,0.4124,0.056,0.8008,,,
,0,1,0.3879,0.7738,,,
,0,0.124,1,0.9389,,,
,0,0,0,1,,,
Vandermeer 1969,,,,,,,
,1,0.9545,-0.6855,-0.1879,,,
,0.55,1,0.3142,0.318,,,
,1.4587,1.3526,1,0.4217,,,
,0.8647,1.132,-0.5928,1,,,
Picasso 2008,,,,,,,
,1,-1.6466,-0.6802,0.3806,0.6524,0.0713,-3.8579
,0.7832,1,-7.363,0.2453,-0.0207,-1.582,-25.2085
,0.7151,0.532,1,0.643,0.8623,0.7515,0.0758
,-2.5876,-0.7622,-0.6701,1,-0.59,-1.1274,NA
,0.3215,-0.0816,0.494,0.6126,1,NA,0.5684
,0.6507,0.5384,0.3269,0.8362,NA,1,0.6143
,0.8405,0.5816,0.2756,NA,0.9633,0.918,1
