Initial.Definition,Study,Zhao.ND.1,Zhao.FD.1,specie i,specie j,Kingdom,Treatment,a_ii_AP,a_jj_AP,a_ij_AP,a_ji_AP,Si,Sj,Lambdai,Lambdaj,gii,gjj,gij,gji,a_ii_LV,a_jj_LV,a_ij_LV,a_ji_LV,a_ii_AP_expo,a_jj_AP_expo,a_ij_AP_expo,a_ji_AP_expo,Model use
Godoy,Godoy & al. 2014,,,AGHE,AGHE,Plant,Control,0.475220379,0.47522038,0.47522038,0.47522038,,,129.357223,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,AGRE,Plant,Control,0.475220379,0.96370026,0.27564732,2.20863552,,,129.357223,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,AMME,Plant,Control,0.475220379,0.33221818,2.01071725,0.25229898,,,129.357223,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,AR,Plant,Control,0.475220379,0.03991319,,,,,129.357223,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,CEME,Plant,Control,0.475220379,2.11144129,10.0668455,0.41028924,,,129.357223,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,CLPU,Plant,Control,0.475220379,0.29194102,,0.76922593,,,129.357223,4.440791483,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,ERBO,Plant,Control,0.475220379,5.42496308,5.66091252,,,,129.357223,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,ERCI,Plant,Control,0.475220379,1.28296777,6.94744375,5.80883213,,,129.357223,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,EUPE,Plant,Control,0.475220379,2.11653044,3.4885673,0.34792319,,,129.357223,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,GECA,Plant,Control,0.475220379,0.33282495,3.27322959,,,,129.357223,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,HECO,Plant,Control,0.475220379,1.88081094,1.19389148,0.5931778,,,129.357223,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,LACA,Plant,Control,0.475220379,0.36019167,2.03038603,3.26331252,,,129.357223,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,LOPU,Plant,Control,0.475220379,0.88435764,4.94437513,0.02983094,,,129.357223,19.56142037,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,LOWR,Plant,Control,0.475220379,0.59860742,5.90601321,0.45940722,,,129.357223,163.2340547,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,MEPO,Plant,Control,0.475220379,0.0875983,1.25971621,,,,129.357223,16.01276853,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,AT,Plant,Control,0.475220379,2.01847529,0.77833563,0.49496842,,,129.357223,14.63143066,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,PLER,Plant,Control,0.475220379,0.1395544,0.24121017,0.26637069,,,129.357223,350.2555682,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGHE,SACA,Plant,Control,0.475220379,0.57484513,2.35430185,0.75148057,,,129.357223,368.4726321,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,AGHE,Plant,Control,0.963700263,0.47522038,2.20863552,0.27564732,,,328.68665,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,AGRE,Plant,Control,0.963700263,0.96370026,0.96370026,0.96370026,,,328.68665,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,AMME,Plant,Control,0.963700263,0.33221818,,0.12677757,,,328.68665,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,AR,Plant,Control,0.963700263,0.03991319,,,,,328.68665,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,CEME,Plant,Control,0.963700263,2.11144129,,0.16185491,,,328.68665,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,CLPU,Plant,Control,0.963700263,0.29194102,,,,,328.68665,4.440791483,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,ERBO,Plant,Control,0.963700263,5.42496308,,,,,328.68665,1.318463047,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,ERCI,Plant,Control,0.963700263,1.28296777,,,,,328.68665,279.5609977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,EUPE,Plant,Control,0.963700263,2.11653044,3.65447097,,,,328.68665,39.06629977,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,GECA,Plant,Control,0.963700263,0.33282495,,0.1947274,,,328.68665,2.665849213,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,HECO,Plant,Control,0.963700263,1.88081094,,0.82245462,,,328.68665,1044.834032,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,LACA,Plant,Control,0.963700263,0.36019167,,0.11567691,,,328.68665,22.45062579,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,LOPU,Plant,Control,0.963700263,0.88435764,0.84713405,,,,328.68665,19.56142037,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,LOWR,Plant,Control,0.963700263,0.59860742,,0.11401719,,,328.68665,163.2340547,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,MEPO,Plant,Control,0.963700263,0.0875983,,,,,328.68665,16.01276853,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,AT,Plant,Control,0.963700263,2.01847529,0.8497266,,,,328.68665,14.63143066,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,PLER,Plant,Control,0.963700263,0.1395544,,0.61683903,,,328.68665,350.2555682,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AGRE,SACA,Plant,Control,0.963700263,0.57484513,,0.00161911,,,328.68665,368.4726321,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,AGHE,Plant,Control,0.332218181,0.47522038,0.25229898,2.01071725,,,42.80778823,129.3572233,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,AGRE,Plant,Control,0.332218181,0.96370026,0.12677757,,,,42.80778823,328.68665,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,AMME,Plant,Control,0.332218181,0.33221818,0.33221818,0.33221818,,,42.80778823,42.80778823,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,AR,Plant,Control,0.332218181,0.03991319,0.11828928,,,,42.80778823,2.393453498,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,CEME,Plant,Control,0.332218181,2.11144129,0.61846243,0.65084459,,,42.80778823,547.27085,,,,,,,,,,,,,annual plant model
Godoy,Godoy & al. 2014,,,AMME,CLPU,Plant,Control,0.332218181,0.29194102,18.6172178,0.06564174,,,42.80778823,4.440791483,,,,,,,,,,,,,annual plant model
